entidad,fna,gna,nam,fdc,sag,longitud,latitud
,,,,,,-66.23458076,-23.81728499
,,,,,,-66.48799671,-23.94515321
,,,,,,-66.43712048,-23.76628091
,,,,,,-64.86739462,-23.0850193
,,,,,,-64.6865157,-23.18430295
,,,,,,-64.67547425,-23.11892001
,,,,,,-64.67576936,-23.1191826
,,,,,,-64.51292969,-23.11175589
,,,,,,-64.72267933,-23.25059077
,,,,,,-64.93485608,-23.22002655
,,,,,,-64.93467405,-23.2202931
,,,,,,-64.098463,-24.54317571
,,,,,,-64.01295971,-24.61087045
,,,,,,-64.05075927,-24.49575706
,,,,,,-64.01786565,-24.46229301
,,,,,,-66.72094069,-24.11393765
,,,,,,-66.09971403,-24.06748247
,,,,,,-66.32116133,-24.21679585
,,,,,,-66.32181295,-24.21822726
,,,,,,-66.31881486,-24.21706317
,,,,,,-66.32150179,-24.21964394
,,,,,,-65.91616833,-24.02885558
,,,,,,-65.87400063,-24.18178074
,,,,,,-65.77308691,-24.27648081
,,,,,,-66.17389129,-22.00099917
,,,,,,-66.13275299,-22.09928001
,,,,,,-66.13300067,-22.09877162
,,,,,,-66.25776069,-22.07872871
,,,,,,-66.24893348,-22.22490316
,,,,,,-66.41296877,-22.17825406
,,,,,,-66.41408943,-22.17711164
,,,,,,-66.42556205,-22.21976542
,,,,,,-66.42629965,-22.21937204
,,,,,,-66.36774814,-22.25931403
,,,,,,-66.28295931,-22.32567752
,,,,,,-66.15882359,-22.19159135
,,,,,,-66.02415626,-22.16767759
,,,,,,-66.07984376,-22.32494512
,,,,,,-65.59904551,-22.10354708
,,,,,,-65.5924148,-22.10533329
,,,,,,-65.60685458,-22.10939702
,,,,,,-65.59926984,-22.10671223
,,,,,,-65.60014256,-22.11247599
,,,,,,-65.59394883,-22.10492345
,,,,,,-65.52895243,-22.24481246
,,,,,,-65.5679027,-22.12230006
,,,,,,-65.91954909,-22.29985812
,,,,,,-65.95185099,-22.04902019
,,,,,,-65.75325137,-22.1186125
,,,,,,-65.65799381,-22.31703856
,,,,,,-65.6809221,-22.28850432
,,,,,,-65.82606546,-22.32977275
,,,,,,-65.86634024,-22.10047624
,,,,,,-65.65606112,-22.22270693
,,,,,,-65.56212488,-22.15876373
